Artist,Artwork,Investment Name,Total,Quantity,Ask
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,989.50,50,19.79
 Yayoi Kusama,Infinity Nets ,Masterworks 063,"1,100",50,22
 Andy Warhol,Little Electric Chair ,Masterworks 017,"12,918.75",625,20.67
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,198,10,19.80
 Yayoi Kusama,Untitled ,Masterworks 056,198.50,10,19.85
 Banksy,Monkey Poison ,Masterworks 015,185,5,37
 Sam Gilliam,Through ,Masterworks 057,117,5,23.40
 Alex Katz,Maxine ,Masterworks 005,99.95,5,19.99
 Sam Gilliam,Through ,Masterworks 057,234,10,23.40
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,99.50,5,19.90
 Sam Gilliam,Through ,Masterworks 057,585,25,23.40
 George Condo,Listening to Voices ,Masterworks 047,112.50,5,22.50
 Alex Katz,Maxine ,Masterworks 005,199.90,10,19.99
 Jean-Michel Basquiat,Loin ,Masterworks 030,28,1,28
 Jean-Michel Basquiat,Loin ,Masterworks 030,150,5,30
 Jean-Michel Basquiat,Loin ,Masterworks 030,30,1,30
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,"2,875",125,23
 Yayoi Kusama,Pumpkin ,Masterworks 038,480,20,24
 Agnes Martin,Untitled #12 ,Masterworks 055,"2,200",100,22
 Keith Haring,Untitled ,Masterworks 018,"2,100",100,21
 Agnes Martin,Untitled #12 ,Masterworks 055,"1,000",50,20
,,,,506.25,25,20.25
,,,,"3,375",75,45
,,,,300,10,30
,,,,205,10,20.50
 Alex Katz,Grey Ribbon ,Masterworks 035,497.50,25,19.90
 Andy Warhol,Dollar Sign ,Masterworks 071,"1,200",50,24
,,,,"6,247.50",250,24.99
,,,,"3,450",150,23
,,,,"14,400",480,30
 Mark Bradford,Value 47 ,Masterworks 039,"15,000",500,30
 Jean-Michel Basquiat,Loin ,Masterworks 030,"15,000",500,30
 George Condo,The Age of Reason ,Masterworks 029,"11,000",500,22
 Andy Warhol,Little Electric Chair ,Masterworks 017,"10,750",500,21.50
 Andy Warhol,Dollar Sign ,Masterworks 071,26,1,26
 Banksy,Monkey Poison ,Masterworks 015,193.75,5,38.75
 Alex Katz,Maxine ,Masterworks 005,102,5,20.40
 Cecily Brown,There is a Land of Pure Delight ,Masterworks 028,373.50,15,24.90
 Sam Gilliam,Tracing ,Masterworks 010,239,10,23.90
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,313.50,15,20.90
 Agnes Martin,Untitled #12 ,Masterworks 055,225,9,25
 Sam Gilliam,Reaching ,Masterworks 051,363,11,33
 Banksy,Monkey Poison ,Masterworks 015,47.77,1,47.77
,,,,50,2,25
 Andy Warhol,Dollar Sign ,Masterworks 071,28,1,28
,,,,25,1,25
 Yayoi Kusama,Pumpkin ,Masterworks 038,25,1,25
,,,,"28,730","1,105",26
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,"13,320",20,666
,,,,"417,360",470,888
 Agnes Martin,Untitled #12 ,Masterworks 055,"147,000","1,225",120
 Zao Wou-Ki,15.6.64 ,Masterworks 019,198.50,10,19.85
 Banksy,Monkey Poison ,Masterworks 015,975,30,32.50
 Yayoi Kusama,Pumpkin ,Masterworks 038,612,17,36
 Carmen Herrera,Green and Orange ,Masterworks 046,"1,376",43,32
 Banksy,Monkey Poison ,Masterworks 015,50,1,50
 Andy Warhol,Dollar Sign ,Masterworks 071,324,9,36
 Sam Gilliam,Reaching ,Masterworks 051,30,1,30
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"2,875",125,23
 Zao Wou-Ki,15.6.64 ,Masterworks 019,200,10,20
 Gerhard Richter,Ziege ,Masterworks 041,102.50,5,20.50
 Zao Wou-Ki,15.6.64 ,Masterworks 019,513.75,25,20.55
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,524.75,25,20.99
 Zao Wou-Ki,15.6.64 ,Masterworks 019,310.50,15,20.70
 Gunther Forg,Untitled ,Masterworks 009,373.50,15,24.90
 Albert Oehlen,Stillebin mit Ingwertopf (Still Life with Ginger Pot) ,Masterworks 052,"8,750",250,35
 Christopher Wool,Untitled ,Masterworks 053,"7,500",250,30
 Alex Katz,Maxine ,Masterworks 005,"1,050",50,21
 Barkley L. Hendricks,Selina/Star ,Masterworks 026,315,10,31.50
 Andy Warhol,Little Electric Chair ,Masterworks 017,20.49,1,20.49
 Banksy,Monkey Poison ,Masterworks 015,40,1,40
 Yayoi Kusama,Pumpkin ,Masterworks 038,25,1,25
 Alex Katz,Maxine ,Masterworks 005,499.75,25,19.99
 Alex Katz,Maxine ,Masterworks 005,999.50,50,19.99
 Banksy,Monkey Poison ,Masterworks 015,"3,250",100,32.50
,,,,"1,365",65,21
 George Condo,Gargantua ,Masterworks 025,858,33,26
 Gunther Forg,Untitled ,Masterworks 009,750,30,25
,,,,420,20,21
 George Condo,The Age of Reason ,Masterworks 029,220,10,22
 Cecily Brown,There is a Land of Pure Delight ,Masterworks 028,280,10,28
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,102.50,5,20.50
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,25,1,25
 Sam Gilliam,Reaching ,Masterworks 051,40,1,40
 Zao Wou-Ki,15.6.64 ,Masterworks 019,140,5,28
 Andy Warhol,Little Electric Chair ,Masterworks 017,210,10,21
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,147,7,21
 Sam Gilliam,Through ,Masterworks 057,39,1,39
 Sam Gilliam,Through ,Masterworks 057,175,5,35
 Sam Gilliam,Through ,Masterworks 057,39.20,1,39.20
 Sam Gilliam,Through ,Masterworks 057,39.40,1,39.40
 Sam Gilliam,Through ,Masterworks 057,39.40,1,39.40
 Sam Gilliam,Through ,Masterworks 057,39.60,1,39.60
 Sam Gilliam,Through ,Masterworks 057,39.60,1,39.60
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,105,5,21
 Sam Gilliam,Through ,Masterworks 057,39.80,1,39.80
 Sam Gilliam,Through ,Masterworks 057,39.80,1,39.80
 Sam Gilliam,Through ,Masterworks 057,40,1,40
 Sam Gilliam,Through ,Masterworks 057,40,1,40
 Joan Mitchell,Rhubarb ,Masterworks 014,550,25,22
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,120,5,24
 Keith Haring,Untitled ,Masterworks 037,860,43,20
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,550,25,22
 Alex Katz,Grey Ribbon ,Masterworks 035,500,25,20
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,40,1,40
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,150,5,30
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,42,1,42
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"2,956.50",135,21.90
 Carmen Herrera,Green and Orange ,Masterworks 046,25,1,25
 Yayoi Kusama,Pumpkin ,Masterworks 038,30,1,30
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,214.50,10,21.45
 Andy Warhol,Dollar Sign ,Masterworks 071,140,5,28
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,104.25,5,20.85
 Andy Warhol,Little Electric Chair ,Masterworks 017,102.20,5,20.44
,,,,"3,125",125,25
 Banksy,Monkey Poison ,Masterworks 015,245,5,49
 Yayoi Kusama,Pumpkin ,Masterworks 038,24,1,24
 Carmen Herrera,Green and Orange ,Masterworks 046,24,1,24
 Zao Wou-Ki,15.6.64 ,Masterworks 019,25,1,25
 Andy Warhol,Dollar Sign ,Masterworks 071,"12,500",500,25
 Gunther Uecker,Weisses Feld ,Masterworks 031,"11,500",500,23
 Jean-Michel Basquiat,Loin ,Masterworks 030,"11,500",500,23
 Agnes Martin,Untitled #1 ,Masterworks 021,"11,500",500,23
 Zao Wou-Ki,15.6.64 ,Masterworks 019,103.75,5,20.75
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,105.50,5,21.10
 Jonas Wood,Hammer 5 ,Masterworks 004,622.50,30,20.75
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,39,1,39
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,150,5,30
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,40,1,40
 Carmen Herrera,Green and Orange ,Masterworks 046,40,1,40
 Carmen Herrera,Green and Orange ,Masterworks 046,150,5,30
 Carmen Herrera,Green and Orange ,Masterworks 046,80,2,40
 Carmen Herrera,Green and Orange ,Masterworks 046,80,2,40
 George Condo,Listening to Voices ,Masterworks 047,40,1,40
 George Condo,Listening to Voices ,Masterworks 047,135,5,27
 George Condo,Listening to Voices ,Masterworks 047,40,1,40
 George Condo,Listening to Voices ,Masterworks 047,40,1,40
 George Condo,Listening to Voices ,Masterworks 047,40,1,40
 George Condo,Listening to Voices ,Masterworks 047,40,1,40
 Joan Mitchell,Rhubarb ,Masterworks 014,42,1,42
 Joan Mitchell,Rhubarb ,Masterworks 014,150,5,30
 Joan Mitchell,Rhubarb ,Masterworks 014,42,1,42
 Joan Mitchell,Rhubarb ,Masterworks 014,42,1,42
 Joan Mitchell,Rhubarb ,Masterworks 014,43,1,43
 Joan Mitchell,Rhubarb ,Masterworks 014,80,2,40
 Joan Mitchell,Rhubarb ,Masterworks 014,80,2,40
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,135,5,27
 Yayoi Kusama,Pumpkin ,Masterworks 038,25,1,25
 Gunther Uecker,Weisses Feld ,Masterworks 031,333,15,22.20
 Keith Haring,Untitled ,Masterworks 018,130,5,26
 Alex Katz,Grey Ribbon ,Masterworks 035,270,10,27
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,135,5,27
 Keith Haring,Untitled ,Masterworks 043,135,5,27
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,130,5,26
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,180,5,36
 George Condo,Listening to Voices ,Masterworks 047,225,5,45
 Keith Haring,Untitled ,Masterworks 037,200,5,40
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,220,5,44
 Alex Katz,Grey Ribbon ,Masterworks 035,290,10,29
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,099.50",50,21.99
 George Condo,The Age of Reason ,Masterworks 029,230,5,46
 Andy Warhol,Dollar Sign ,Masterworks 071,30,1,30
 Gunther Forg,Untitled ,Masterworks 009,"1,499.50",50,29.99
 Cecily Brown,There is a Land of Pure Delight ,Masterworks 028,220,5,44
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,900,25,36
 Kaws,Far Away Friends ,Masterworks 008,200,5,40
 Cecily Brown,Girl Trouble ,Masterworks 007,230,5,46
 Claude Monet,Coup de vent ,Masterworks 002,450,10,45
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,"1,350",30,45
 Keith Haring,Untitled ,Masterworks 037,"2,998.75",125,23.99
 Jean-Michel Basquiat,Loin ,Masterworks 030,650.50,25,26.02
 Claude Monet,Coup de vent ,Masterworks 002,"1,140",50,22.80
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,42,1,42
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,150,5,30
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,78,2,39
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,80,2,40
 Yayoi Kusama,Infinity Nets ,Masterworks 063,112.25,5,22.45
 Yayoi Kusama,Infinity Nets ,Masterworks 063,224.50,10,22.45
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,44,1,44
 Yayoi Kusama,Untitled ,Masterworks 056,"2,060",103,20
 Claude Monet,Coup de vent ,Masterworks 002,228,10,22.80
 Carmen Herrera,Green and Orange ,Masterworks 046,24.50,1,24.50
 Carmen Herrera,Green and Orange ,Masterworks 046,25,1,25
 Claude Monet,Coup de vent ,Masterworks 002,114.25,5,22.85
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,216,9,24
 Christopher Wool,Untitled ,Masterworks 053,60,2,30
 Keith Haring,Untitled ,Masterworks 037,"4,020",200,20.10
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,"4,280",200,21.40
 Alex Katz,Maxine ,Masterworks 005,"4,140",200,20.70
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"4,090",200,20.45
 Zao Wou-Ki,15.6.64 ,Masterworks 019,335.20,16,20.95
 Alex Katz,Grey Ribbon ,Masterworks 035,334.40,16,20.90
 Jonas Wood,Hammer 5 ,Masterworks 004,615,30,20.50
 Yayoi Kusama,Untitled ,Masterworks 056,102.95,5,20.59
 Sam Gilliam,Tracing ,Masterworks 010,"1,680",70,24
 Andy Warhol,Little Electric Chair ,Masterworks 017,102.50,5,20.50
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,286,13,22
