Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"8,000",400,20.0,26.950000000000003
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"7,804.03",347,22.49,23.47710093374834
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,540,27,20.0,22.400000000000002
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"1,900",95,20.0,22.400000000000002
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,114.40,5,22.88,21.372377622377627
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"5,720",250,22.88,21.372377622377627
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"2,100",100,21.0,20.904761904761905
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"5,250",250,21.0,20.904761904761905
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"1,848",88,21.0,20.904761904761905
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"1,050",50,21.0,20.904761904761905
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,149.50",50,22.99,20.79164854284472
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,150",50,23.0,20.739130434782606
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"11,500",500,23.0,20.739130434782606
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,345,15,23.0,20.739130434782606
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,575,25,23.0,20.739130434782606
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"2,956.50",135,21.9,19.13242009132421
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,550,25,22.0,18.59090909090909
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,198,9,22.0,18.59090909090909
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"1,210",55,22.0,18.59090909090909
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"1,100",50,22.0,18.59090909090909
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,506.25,25,20.25,18.419753086419753
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,117.45,5,23.49,18.22051936994466
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,235,10,23.5,18.170212765957444
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,102.50,5,20.5,16.975609756097562
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,210,10,21.0,16.571428571428573
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"1,575",75,21.0,16.571428571428573
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,651,31,21.0,16.571428571428573
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,420,20,21.0,16.571428571428573
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,468,18,26.0,16.3076923076923
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,650,25,26.0,16.3076923076923
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,105.50,5,21.1,16.113744075829377
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,200",50,24.0,15.708333333333332
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"12,000",500,24.0,15.708333333333332
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,518.50,25,20.74,15.62198649951785
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,243,10,24.3,14.279835390946497
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"2,100",100,21.0,14.190476190476192
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,105,5,21.0,14.190476190476192
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,210,10,21.0,14.190476190476192
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,215,10,21.5,13.860465116279071
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"2,875",125,23.0,13.434782608695652
